Delta Air Lines  	DL	3	1.0557E+11	3	" 71,615,445.00 "	2	20972590	2008
United Airlines	UA	2	1.09806E+11	4	" 63,070,770.00 "	3	20237248	2008
American Airlines	AA	1	1.3173E+11	2	" 92,772,044.00 "	1	23696100	2008
Southwest Airlines 	WN	5	73497806970	1	" 101,920,598.00 "	7	11023243	2008
JetBlue Airways	B6	8	26070664349	9	" 21,824,403.00 "	8	3390181	2008
Alaska Airlines  	AS	10	18696972174	11	" 16,789,046.00 "	9	3221431	2008
Spirit Airlines	NK	16	6599368580	23	" 6,819,875.00 "	19	788837	2008
Frontier Airlines  	F9	12	9855429158	16	" 10,577,088.00 "	14	1370900	2008
SkyWest Airlines  	OO	11	11156547926	10	" 20,668,204.00 "	12	2063613	2008
Hawaiian Airlines  	HA	14	7846844952	19	" 7,848,572.00 "	17	1211733	2008
Allegiant Air	G4	22	3492224167	28	" 3,889,544.00 "	/N	/N	2008
Republic Airline	YX	21	3575290121	22	" 7,109,100.00 "	/N	/N	2008
Mesa Airlines  	YV	18	5073729398	15	" 11,181,822.00 "	18	1037815	2008
Envoy Air	MQ	15	7383784963	12	" 16,558,194.00 "	11	2224075	2008
Endeavor 	9E	19	4820530624	17	" 10,331,557.00 "	/N	/N	2008
PSA Airlines  	OH	20	4130476973	18	" 8,097,809.00 "	16	1286135	2008
Sun Country Airlines 	SY	31	1970326321	38	" 1,445,966.00 "	/N	/N	2008
Compass Airlines	CP	35	1517951632	35	" 2,132,875.00 "	/N	/N	2008
Horizon Air	QX	27	2636316548	21	" 7,389,899.00 "	20	733948	2008
ExpressJet Airlines  	EV	17	5948892243	14	" 12,456,886.00 "	13	1432682	2008
GoJet Airlines   	G7	36	922987673	37	" 1,491,304.00 "	/N	/N	2008
Air Wisconsin Airlines  	ZW	30	2099377326	24	" 5,593,952.00 "	21	667715	2008
Trans States Airlines	AX	34	1547459226	29	" 3,495,153.00 "	/N	/N	2008
Piedmont Airlines	PT	/N	/N	/N	 /N 	/N	/N	2008
Commutair 	C5	47	141954053	44	" 698,116.00 "	/N	/N	2008
Silver Airways	3M	48	127585973	45	" 629,563.00 "	/N	/N	2008
Era Aviation	7H	51	52901178	49	" 348,244.00 "	/N	/N	2008
Peninsula Airways	KS	49	96063707	51	" 223,129.00 "	/N	/N	2008
Contour Airlines	LF	/N	/N	/N	 /N 	/N	/N	2008
Cape Air	9K	50	55153833	43	" 701,647.00 "	/N	/N	2008
Boutique Air	4B	/N	/N	/N	 /N 	/N	/N	2008
Elite Airways	2HQ	/N	/N	/N	 /N 	/N	/N	2008
Seaborne Virgin Islands	SEB	60	7098468	52	" 147,595.00 "	/N	/N	2008
Hageland Aviation Service	H6	56	13699503	54	" 132,464.00 "	/N	/N	2008
